Genome	X2_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X1_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X104_cov.Relative.Abundance....
bin.0185	0.05420801	0.06205355	0.052280124	0.04820043	0.04066279
bin.0186	0.4342347	0.36511347	0.3436353	0.35459456	0.35402578
bin.0187	0.30094832	0.3081507	0.22675462	0.24426487	0.22038238
bin.0188	0.8925179	1.5764608	0.93397725	0.9680542	0.87655103
bin.0189	0.059250545	0.05462653	0.068856195	0.06783482	0.052185304
bin.0190	0.30136567	0.26708618	0.24590516	0.25875995	0.29566398
bin.0191	0.05339954	0.04673135	0.10518878	0.10550149	0.11710773
bin.0192	0.04248724	0.05234253	0.045391273	0.04255748	0.034965016
bin.0193	0.11959462	0.101214625	0.09254174	0.09149573	0.08613226
bin.0194	0.052576307	0.056812756	0.040824372	0.03728072	0.036886346
bin.0195	0.5072666	0.62058043	0.46070024	0.47170642	0.43375167
bin.0196	0.019540615	0.004577047	0.03566941	0.026411701	0.025530262
bin.0197	0.12702064	0.17014937	0.09244865	0.08918591	0.06783877
bin.0198	0.12951648	0.16277482	0.1098862	0.119736366	0.11126563
bin.0199	6.7098665	2.926308	11.32874	10.631972	11.775313
bin.0200	0.07112645	0.06779298	0.06937155	0.0636583	0.04968589
bin.0201	0.21197928	0.25657338	0.14126784	0.1530207	0.14123502
bin.0202	0.05501012	0.04974392	0.04677803	0.045949064	0.053111233
bin.0203	2.9569516	3.1879752	2.3181877	2.4199026	2.2403932
bin.0204	0.22726288	0.20772748	0.164633	0.17659262	0.16643375
bin.0205	0.041274488	0.069291644	0.049626607	0.04573164	0.037205845
bin.0206	0.038372528	0.027050646	0.045494135	0.04262245	0.060433954
bin.0207	0.10799184	0.14859939	0.06552269	0.072010584	0.05267351
bin.0208	0.103962496	0.11054439	0.10113899	0.10626524	0.097712345
bin.0209	0.068942524	0.045933086	0.13878821	0.124919325	0.11005502
bin.0210	0.06511507	0.06826938	0.053577445	0.05726605	0.062579975
bin.0211	0.13167109	0.14099957	0.11375115	0.1211702	0.10424781
unmapped	14.33208	14.207321	13.961321	13.805479	13.221174
